club_ID,club_Name,address,city,state,country,zip_code,timestampUpdated,course_ID,course_Name,num_Holes,has_GPS
1.42E+17,Wequetonsing Golf Club,5543 M-119,Harbor Springs,MI,USA,49740,1618417180,1.21E+19,Wequetonsing,18,0
1.60E+15,Sweetgrass Golf Club,W399 Hwy 2,Harris,MI,USA,49845,1618417211,1.22E+17,18-hole course,18,1
1.42E+17,Snow Snake Ski & Golf,3407 E Mansiding Rd,Harrison,MI,USA,48625,1618417179,1.21E+19,Snow Snake,18,0
1.42E+17,The Tamaracks Golf Course,8900 N Clare Ave,Harrison,MI,USA,48625,1618417180,1.21E+18,The Tamaracks,18,0
1.42E+17,Selfridge Golf Course,Bldg 599 Selfridge ANG Base,Harrison Township,MI,USA,48625,1618417135,1.21E+14,18-hole course,18,0
1.42E+17,Selfridge Golf Course,Bldg 599 Selfridge ANG Base,Harrison Township,MI,USA,48625,1618417137,1.21E+14,Selfridge Golf Course,18,0
1.42E+17,Selfridge Golf Course,Bldg 599 Selfridge ANG Base,Harrison Township,MI,USA,48625,1618417179,1.21E+19,Selfridge,18,0
1.42E+17,Loggers Trace at Springport Hills,5184 E Springport Rd,Harrisville,MI,USA,48740,1701749227,1.21E+19,Loggers Trace,18,1
1.42E+17,Loggers Trace at Springport Hills,5184 E Springport Rd,Harrisville,MI,USA,48740,1701750364,1.11E+19,Springport Hills,9,1
1.42E+17,The Colonial Golf Course,2763 N 72nd Ave,Hart,MI,USA,49420,1618417179,1.21E+19,The Colonial,18,0
1.42E+17,Dunham Hills Golf Club,13561 Dunham Rd,Hartland,MI,USA,48353,1688216621,1.21E+14,18-hole course,18,1
1.42E+17,Hartland Glen Golf Course,12400 Highland Road,Hartland,MI,USA,48353,1718175845,1.21E+19,North,18,1
1.42E+17,Hartland Glen Golf Course,12400 Highland Road,Hartland,MI,USA,48353,1718178174,1.21E+19,South,18,1
1.42E+17,The Majestic at Lake Walden,9600 Crouse Road,Hartland,MI,USA,48855,1733175721,1.11E+19,1-9 + 1-9,18,0
1.42E+17,The Majestic at Lake Walden,9600 Crouse Road,Hartland,MI,USA,48855,1733175721,1.21E+19,1-9 + 10-18,18,0
1.42E+17,The Majestic at Lake Walden,9600 Crouse Road,Hartland,MI,USA,48855,1733175721,1.31E+19,1-9 + 19-27,18,0
1.42E+17,The Majestic at Lake Walden,9600 Crouse Road,Hartland,MI,USA,48855,1733175721,2.11E+19,10-18 + 1-9,18,0
1.42E+17,The Majestic at Lake Walden,9600 Crouse Road,Hartland,MI,USA,48855,1733175721,2.21E+19,10-18 + 10-18,18,0
1.42E+17,The Majestic at Lake Walden,9600 Crouse Road,Hartland,MI,USA,48855,1733175721,2.31E+19,10-18 + 19-27,18,0
1.42E+17,The Majestic at Lake Walden,9600 Crouse Road,Hartland,MI,USA,48855,1733175721,3.11E+19,19-27 + 1-9,18,0
1.42E+17,The Majestic at Lake Walden,9600 Crouse Road,Hartland,MI,USA,48855,1733175721,3.21E+19,19-27 + 10-18,18,0
1.42E+17,The Majestic at Lake Walden,9600 Crouse Road,Hartland,MI,USA,48855,1733175721,3.31E+19,19-27 + 19-27,18,0
1.42E+17,Meridian Sun Golf Club,1018 Haslett Rd,Haslett,MI,USA,48840,1729447176,1.21E+17,18-hole course,18,0
1.42E+17,Hastings Country Club,1550 N Broadway St,Hastings,MI,USA,49058,1728574458,1.21E+19,18-hole course,18,1
1.42E+17,Spring Valley Golf Course,18396 W US 10,Hersey,MI,USA,49639,1618417179,1.11E+19,Spring Valley,9,0
1.42E+17,Hessel Ridge Golf Course,2061 N. Three Mile Rd.,Hessel,MI,USA,49745,1706479464,1.21E+19,18-hole course,18,1
1.42E+17,Highland Hills Golf Club,2075 Oakland Dr,Highland,MI,USA,48356,1713024043,1.21E+19,Highland Hills,18,1
1.42E+17,Prestwick Village Golf Club,136 Inverness,Highland,MI,USA,48357,1734614521,1.21E+19,Prestwick Village,18,1
1.42E+17,Thunder Bay Golf Resort,27800 M 32 E,Hillman,MI,USA,49746,1618417180,1.21E+18,Thunder Bay,18,0
1.44E+15,The Links at Rolling Meadows,380 W 48th street ,Holland,MI,USA,49423,1618417197,1.11E+17,The Links at Rolling Meadows,9,0
1.42E+17,Winding Creek Golf Club,4514 E Ottogan St,Holland,MI,USA,49423,1618417180,1.21E+19,Blue/Gold,18,0
1.42E+17,Winding Creek Golf Club,4514 E Ottogan St,Holland,MI,USA,49423,1618417180,1.21E+19,Gold/White,18,0
1.42E+17,Winding Creek Golf Club,4514 E Ottogan St,Holland,MI,USA,49423,1724186061,1.21E+19,White/Blue,18,1
1.47E+15,Macatawa Golf Club,4600 Macatawa Legends Boulevard,Holland,MI,USA,49424,1703391139,1.21E+17,18-hole course,18,1
1.56E+15,Three Fires Golf Club,6045 136th Avenue,Holland,MI,USA,49424,1618417208,1.22E+17,Blue Red Course,18,0
1.56E+15,Three Fires Golf Club,6045 136th Avenue,Holland,MI,USA,49424,1618417208,1.22E+17,Blue White,18,0
1.56E+15,Three Fires Golf Club,6045 136th Avenue,Holland,MI,USA,49424,1618417208,1.22E+17,Red White,18,0
1.42E+17,Bramblewood Golf Course,2154 Bramblewood Dr,Holly,MI,USA,48442,1663988838,1.21E+19,Bramblewood,18,0
1.42E+17,Heather Highlands Golf Club,11450 E Holly Rd,Holly,MI,USA,48442,1728915558,1.21E+19,Championship,18,1
1.42E+17,Heather Highlands Golf Club,11450 E Holly Rd,Holly,MI,USA,48442,1688477570,1.11E+19,Executive,9,0
1.42E+17,Michigan Tech University Golf Club,46789 US 41,Houghton,MI,USA,49931,1706026687,1.21E+19,Piligram/Portage,18,1
1.42E+17,Portage Lake Golf Club,46789 US 41,Houghton,MI,USA,49931,1733246230,1.21E+19,Portage Lake,18,1
1.42E+17,Pine View Highlands Golf Club,4761 Houghton Lake Dr,Houghton Lake,MI,USA,48629,1726692770,1.21E+19,18-hole course,18,1
1.42E+17,The Quest at Houghton Lake,116 Quest View Dr,Houghton Lake,MI,USA,48629,1618417180,1.21E+19,The Quest at Houghton Lake,18,0
1.42E+17,Chemung Hills Country Club,3125 Golf Club Rd,Howell,MI,USA,48843,1669459789,1.21E+14,18-hole course,18,1
